קטגוריה	תת קטגוריה	שם החגורה	תיאור קצר	תיאור ארוך	שם תמונה
ציפויים	פוליאוריטן	סילומר פוליאוריטן מוקצף	ציפוי סילומר פוליאוריטן מוקצף במגוון צבעים	ציפוי זה מאופין ברמת קושי נמוכה המשתנה בהתאם לצבעי הציפוי. הצבעים: צהוב, כחול, ירוק, חום, אדום ואפור .                                        הצבע הצהוב בקושי הנמוך ביותר ועד לצבע האפור שקושיו הגבוה ביותר .	PU_sylomer Polyurithane foam
ציפויים	פוליאוריטן	רדיד פוליאוריטן שקוף	ציפוי פוליאוריטן שקוף 	ציפוי זה עשוי מפוליאוריטן שקושיו ° shore A) 85) ומקדם חיכוך נמוך.              	pu_clear foil
ציפויים	פוליאוריטן	רדיד פוליאוריטן D44	ציפוי פוליאוריטן חום 	ציפוי זה עשוי מפוליאוריטן שקושיו ° shore A) 72) ומקדם חיכוך נמוך.              	pu_D44 foil
ציפויים	פוליאוריטן	פוליאוריטן דשא (לבן)	ציפוי פוליאוריטן עם "שערות דשא"	ציפוי זה מאופיין ב"שערות דשא" להגברת החיכוך וריכוך משטח החגורה	pu_grip (grass)
ציפויים	פוליאוריטן	פוליאוריטן ניפל	ציפוי פוליאוריטן עם בליטות קשות	ציפוי זה עשוי מפוליאוריטן שקושיו ° shore A) 86) ומקדם חיכוך נמוך. 	pu_nipple
ציפויים	פוליאוריטן	פוליאוריטן התזה	ציפוי פוליאוריטן המותז על גבי החגורה	ציפוי זה מותז בטכנולוגיה יחודית ע"ג החגורה, צבעו צהוב בדרך-כלל אך ניתן לספקו בצבעים שונים.יש אפשרות לאישורי FDA .קושי הציפוי  - 50°   ( shore A ).	pu_sprayed PU
ציפויים	פוליאוריטן	סלופלקס	יציקה של פוליאוריטן מוקצף.	יציקת פוליאוריטן על-גבי החגורה בטכנולוגיה יחודית. ניתן לספק בצבעי צהוב וחום. קושי הציפוי 70° (shore A ).	pu_seloflex
ציפויים	פוליאוריטן	וולקולן D15	ציפוי פוליאוריטן בצבעי צהוב וחום	ציפוי פוליאוריטן בצבעי צהוב וחום . קושי הציפוי 70° (shore A ).	pu_volkolen D15
ציפויים	פוליאוריטן	רדיד פוליאוריטן מאושר מזון FDA	ציפוי פוליאוריטן מאושר מזון FDA	ציפוי יחודי לתעשיית המזון עם אישורי ה- FDA האמריקאי מיוצר בצבעים ובקושיים שונים. כחול:92,80,60° ( shore A ). לבן: 92,80° ( shore A ). בז': 92° ( shore A ).	pu_pu foil FDA approved
ציפויים	פוליאוריטן	רדיד פוליאוריטן 	ציפוי פוליאוריטן בצבעים ובקושיים שונים.	ציפוי פוליאוריטן בצבעי לבן,חלבי,ונטורל. בצבע הלבן קושי הציפוי 60° (shore A ). בצבע החלבי, קושי הציפוי הינו  85° (shore A ) ובצע נטורל קושי הציפוי  92° (shore A ) .	pu_poil
ציפויים	פוליאוריטן	רדיד פוליאוריטן  עם פסים אורכיים	רדיד פוליאוריטן  עם פסים אורכיים	ציפוי זה יחודי בכך ששטח המגע בין משטח החוגרה לאוביקט המונח עליה מצומצם. צבע:שקוף, קושי:  86° (shore A ).	pu_pu foil  longitudinal rib
ציפויים	פוליאוריטן	פוליאוריטן "פיש-בון"	ציפוי פוליאוריטן עם שטח פנים בצורת "עצמות-דג"	צורת עצמות הדג נועדה להטיב את אחיזת החגורה באובייקט הנמצא עליה (בד"כ אוביקט רך). צבע לבן, קושי  86° (shore A ).	pu_pu fishbone
					
ציפויים	ציפויי גומי	לינטקס	ציפוי לינטקס, צבע אדום.	ציפוי זה משמש בדרך-כלל למכונות אריזה.                                       בעל קושי נמוך - 40° (shore A ). מקדם חיכוך גבוה מאוד.	Rubber_linatex
ציפויים	ציפויי גומי	לינטריל	ציפוי לינטריל, צבע כתום	ציפוי לינטריל קושי  55° (shore A ), מקדם חיכוך גבוה.	Rubber_linatril
ציפויים	ציפויי גומי	LCN 	ציפוי LCN , צבע אדום	ניתן להשתמש בציפוי זה במכונוות אריזה. בעל קושי נמוך - 45° (shore A ). מקדם חיכוך גבוה מאוד.	Rubber_LCN
ציפויים	ציפויי גומי	גומי דשא סופר גריפ	ציפוי גומי דשא בעל מקדם חיכוך גבוה מאוד	ציפוי גומי דשא זה משמש בד"כ לשינוע מוצרים חלקים. צבעים:בז' ושחור.	Rubber_Rubber Supergrip
ציפויים	ציפויי גומי	גומי דשא נוגד החלקה	ציפוי גומי דשא בעל מקדם חיכוך גבוה מאוד	ציפוי זה משמש לשינוע מוצרים רטובים הנוטים להחליק בזמן השינוע.	Rubber_Rubber grass non-skid
ציפויים	ציפויי גומי	קורקס	ציפוי קורקס, צבע בז'.	ציפוי המשמש בדרך-כלל למכונוות אריזה.                                            בעל קושי נמוך- 40° (shore A ).מקדם חיכוך גבוה מאוד.	Rubber_Correx
ציפויים	ציפויי גומי	APLN	ציפוי APLN בצבע אדום	ציפוי APLN  קושי  55° (shore A ), מקדם חיכוך גבוה.	Rubber_APLN
ציפויים	ציפויי גומי	לינפלוס	ציפוי לינפלוס מאושר תקן FDA האמריקאי.	ציפוי זה בעל קושי נמוך- 40° (shore A ). מקדם חיכוך גבוה מאוד.   משמש בד"כ למכונות אריזה במפעלי מזון.	Rubber_linaplus
ציפויים	ציפויי גומי	רמליין	ציפוי רך מאוד בצבעים : חום אדמדם וכתום.	ציפוי רך מאוד בעל מקדם חיכוך גבוה מאוד.                                      צבע חום אדמדם, קושי נמוך-35° (shore A).מקדם חיכוך גבוה מאוד. צבע כתום בעל קושי נמוך- 50° (shore A ),מקדם חיכוך גבוה . 	Rubber_remline
ציפויים	ציפויי גומי	גומי ניפל	ציפוי גומי עם בליטות קשות	ציפוי לשינוע מוצרים רכים, בעל קושי נמוך- 40° (shore A ). מקדם חיכוך גבוה.	Rubber_Rubber Nipple
ציפויים	ציפויי גומי	RP400	ציפוי RP400 , קושי נמוך, צבע צהוב.	ניתן להשתמש בציפוי זה במכונוות אריזה. בעל קושי נמוך - 40° (shore A ). מקדם חיכוך גבוה מאוד.	Rubber_RP400
ציפויים	ציפויי גומי	G/GSTR	ציפוי מחוספס	ציפוי זה מחוספס ומיוצר בצבעים: כחול, ירוק ושחור.	Rubber_G-GSTR
ציפויים	ציפויי גומי	ניאופרן	חומר המשמש ליצור חגורות טיימינג ולציפויין. מוכר גם כ CR/SBR 63	חומר המשמש הן ליצור החגורות עצמן והן לציפוי חגורות. צבע שחור, קושי:  60° (shore A ).	Rubber_Neoprene
ציפויים	ציפויי גומי	פרבונן שחור	מוכר גם כ- NBR/SBR 65	משמש לציפוי חגורות. צבע שחור, קושי:  65° (shore A ).	Rubber_perbunan black
ציפויים	ציפויי גומי	פורול	פורול - גומי CR צבע שחור	פורול - גומי CR צבע שחור	Rubber_porol
ציפויים	ציפויי גומי	גומי ספוגי	גומי ספוגי בצבע כתום	גומי ספוגי בצבע כתום משמש לציפוי חגורת באפליקציות הדורשות רכות ע"ג החגורה	Rubber_sponge rubber
ציפויים	ציפויי גומי	אלסטומר	אלסטומר בצבע ירוק	אלסטומר ירוק - קושי  55° (shore A )	Rubber_Elastomer
ציפויים	ציפויי גומי	ניאופרן מאושר מזון FDA	ציפוי זה משמש לאריזה במפעלי מזון	ציפוי גומי היחודי בכך שהוא מאושר מזון ויכול לשמש כציפוי לחגורות למכונות אריזה (מקדם חיכוך גבוה) במפעלי מזון. קושי  60° (shore A ), צבע בהיר.	Rubber_Neoprene FDA approved
ציפויים	ציפויי גומי	ברובן בהיר	ציפוי פרובן NBR 60 ,מאושר למגע עם מי-שתייה.	ציפוי זה הינו היחיד בעל אישור KTW למגע עם מי - שתייה, בעל מקדם חיכוך גבוה ,קושי  60° (shore A ), צבע בהיר.	Rubber_Peruban bright
